,0,1,2,3,4
725_1,-0.808915808938759,-0.8240982164000739,-0.8205549098493825,-0.8302703516465684,-0.8246038260013729
746_2,-0.8912749544837245,-0.9026971240915966,-0.9329630584533335,-0.9103150601835881,-0.9132475296023301
747_0,-0.9669416994369937,-1.0111880453009334,-0.9881420319475211,-1.037683638934771,-1.0000123789043411
509_1,-1.0507377620858784,-1.0700031921439153,-1.086197277080664,-1.0599330912697789,-1.0783833199264978
508_4,-1.1432238343981014,-1.1547032872352458,-1.163948906622623,-1.212962470819022,-1.152941464769191
507_2,-1.2180057715809751,-1.2542684344195334,-1.2625372755597992,-1.2505318193300285,-1.2469744815441932
661_1,-1.3012017910715519,-1.3190356822570746,-1.3054347256770154,-1.333950720995428,-1.4158949854088052
577_1,-1.3733165645555232,-1.411833317566388,-1.3907041204833162,-1.4052764260375867,-1.408958909850999
575_0,-1.4479704917391363,-1.5277181030946885,-1.4863883936854059,-1.4850969013042687,-1.4778085692697605
576_0,-1.524354480301849,-1.5728454264341696,-1.5713609202276995,-1.5780893122999278,-1.5644682624422943
802_4,-1.6082780125423646,-1.6462491399187895,-1.6816335978767964,-1.6454234131535983,-1.6373082644578534
945_0,-1.6913011390486605,-1.8000716438165016,-1.7204192544933128,-1.7242879632824517,-1.7214684942390592
944_1,-1.7570254925526874,-1.7831614426557099,-1.8064536978293688,-1.7695655026608426,-1.7939197748242397
1008_0,-1.8193392529243022,-1.8653996833135582,-1.8414849763013013,-1.8540136134164147,-1.8383064817010168
1448_2,-1.869397067595826,-1.9078305701684606,-1.9034425521924843,-1.903244254761935,-1.9415104738060414
1447_2,-1.9244882873525941,-1.9532650007677146,-1.9752682384179665,-1.931508937120696,-1.9344039596441995
1421_2,-1.9636056104092325,-1.9697987958283658,-2.0376365926827837,-2.0116595832031727,-1.970126593721064
813_1,-1.9736420414409608,-2.040429446269158,-1.9952738178635454,-2.0499029048748225,-1.9911067429302882
368_2,-1.9796110247877636,-1.9855741205884936,-2.001025414112248,-2.006999315630322,-2.016979610399778
369_2,-1.999009356258889,-2.0108107145511283,-1.9911818776162178,-1.9857597777680476,-2.0007868796526775
1584_4,-1.9608130544196951,-2.054180032128678,-1.9774572725427426,-1.9721756448950583,-1.9852240293619285
814_3,-1.916752621577134,-2.001994241365277,-1.9330378514855644,-1.9441804994114356,-95.26036702824871
477_2,-1.8672431736198045,-1.8928734842030708,-1.8737464061955593,-1.901514793260135,-1.891172069289964
1389_3,-1.8051392226963632,-1.86790526059325,-1.8419151566799359,-1.8369838237042906,-1.8477285518391469
1390_3,-1.734798695238191,-1.756718176146966,-1.749789183763815,-1.7613335366449645,-1.7399255546233248
1168_0,-1.619650638783617,-1.6580610558811963,-1.6263538330431004,-1.6312039106279312,-1.6304836795968425
1167_1,-1.4837751346933667,-1.5018409465994493,-1.5291454083142009,-1.5291264051392957,-1.5271008912429678
1166_1,-1.3253645566545686,-1.344180502817666,-1.3711999506844077,-1.3746136768374408,-1.3691939160548563
1162_3,-1.1478867947269793,-1.2222149921277323,-1.203357634112804,-1.2137547754845808,-1.205045919708811
1163_3,-1.043434062194704,-1.0214967936184445,-1.0028166025238503,-0.9426430761588167,-1.018087807835813
1154_2,-0.677863638912219,-0.7731292440600448,-0.7098976851678496,-0.7786333117254113,-0.8151916654460418
1151_2,-0.40632316308268074,-0.660329297788238,-0.6500457655986349,-0.6764104528297286,-0.4688320038468988
1150_0,-0.11887318428894356,-0.12217118857521968,-0.10209480964151862,-0.1564255986872539,-0.12171105497414847
103_1,0.22439662443235486,0.24946253203039814,0.29127203249751155,0.2765643652783879,-0.3695313935667227
